# Rime table
# coding: utf-8
#@/db_name	pinin.txt
#@/db_type	tabledb
#
# 自定义短语
# 可为方案增加一些要置顶的词汇及短语，例如邮箱、手机号、常用短语等等。编码可以随便起，不限于拼音。
#
# 以 Tab 分割：词汇<Tab>编码<Tab>权重
#
# 这个文件内的字词会占据最高权重（即排在候选项的最前面，因为指定了高权重 custom_phrase/initial_quality: 99）。
# 但不与其他翻译器互相造词，如果使用了完整编码，那么这个字或词将无法参与造词，即自造词无法被记住。
# 所以只建议固定非完整拼音的编码，如果需求是置顶指定拼音的候选项，请参考方案中的 pin_cand_filter。
#
# 此行之后不能写注释

啊	a
呃	e
欸	ei
噢	ao
哦	ou
昂	v
呀	ia
哇	ua
吧	b
呗	bei
吗	m
嘛	ma
恩	ñ
嗯	ŋ
呢	ne
啦	la
哈	ha
哼	hŋ

我	o
按	w
也	ie
要	io
有	iu
音	iñ
为	ue
玩	uw
用	yŋ
把	ba
被	be
帮	bv
别	bie
变	biw
编	biw-
不	bu
没	mei
多	do
的	d
得	dei
都	d-
都	dou
点	diw
对	due
他	t
她	t_
它	ta
太	tai
图	tu
哪	n|
那	n\
能	n
你	ni
娘	niv
弄	nuŋ
了	l
来	l/
来	lai
咯	l·
个	ge
改	gai
给	g
给	gei
搞	g|
搞	gao
刚	gv
跟	g-
更	g\
看	kw
和	he
还	h/
还	hai
好	h
好	hao	1
后	hou
坏	hui
会	hue
加	jia
就	j
去	qy
却	qye
下	xia
写	xie
先	xiw
想	x|
像	x\
行	x
字	z\
在	z
再	z_
总	zuŋ
才	cai
色	se
只	ẑ
这	ẑe
这	ẑei
着	ẑ·
是	ŝ
时	ŝ/
说	ŝo
上	ŝv
让	rv

而已	ari
而且	arq
而是	arŝ
而已	eri
而且	erq
而是	erŝ
我的	od
我们	om
额外	eui
安卓	wẑo
按照	wẑ
按住	wẑu
一样	ii
一般	ib
一点	id
一定	idiñ
一个	ig
一个	ige
一行	ihv
一下	ix
一些	ix-
一些	ixie
一起	iqi
一次	ic
以为	iue
以后	ih
以及	iji
以前	iq
已经	ij
意思	is
也就是	ijŝ
也行	iex
也是	ieŝ
要不要	ibi
要不然	ibr
要么	iom
优化	iuhua
有点	iud
有一次	iic
有用	iuyŋ
有没有	imi
有个	iug
因为	iñu
应该	iñg
